,WBC,NEUT,LY,RBC,Hb,PLT,AST,ALT,ALP,Tbil,Bun,Cr,UA,IgG,IgA,IgM,C3,C4,ESR,CRP,MZ
WBC,1,0.491709572,-0.50127766,0.007554117,0.25996948,0.187463553,0.105755332,0.103767145,0.129569116,-0.120338873,-0.186118545,-0.146786312,-0.30478035,-0.164530238,-0.406113544,0.108242027,-0.150988498,-0.102010643,-0.249009868,0.082863069,-0.202341834
NEUT,0.491709572,1,-0.958505655,0.009516555,0.128446634,0.02210083,0.284437593,0.247126036,0.169455508,-0.090326029,0.192987298,-0.123146211,-0.104957568,-0.181380874,-0.112836162,0.020482214,0.10110341,0.168330483,0.098421441,0.326923162,-0.339308039
LY,-0.50127766,-0.958505655,1,-0.035599639,-0.185817392,-0.02372771,-0.285226165,-0.238861646,-0.156161337,-0.024661247,-0.076266852,0.10934867,0.066093267,0.198752886,0.142522096,0.002801484,-0.055278678,-0.190438112,-0.064802294,-0.308910893,0.219286013
RBC,0.007554117,0.009516555,-0.035599639,1,0.283772634,0.143143433,-0.163759038,-0.00780449,-0.107232654,-0.102123316,-0.135370511,-0.194268151,0.059497679,-0.257449453,0.09317772,0.214079047,-0.260439488,-0.060479042,-0.374179704,-0.236921307,-0.357971234
Hb,0.25996948,0.128446634,-0.185817392,0.283772634,1,-0.040380744,0.041357022,0.395339245,0.114160814,0.2200884,-0.318465368,-0.192906037,-0.086288912,-0.395678881,-0.146542936,-0.011899557,-0.519056222,0.085477064,-0.490814108,-0.283710546,-0.328008233
PLT,0.187463553,0.02210083,-0.02372771,0.143143433,-0.040380744,1,0.277362022,0.171976294,0.047338303,0.201557161,-0.238834987,-0.057416112,-0.312412098,0.049203233,-0.082623431,0.560844892,-0.022658902,0.079590398,0.049191762,0.483493845,-0.043070082
AST,0.105755332,0.284437593,-0.285226165,-0.163759038,0.041357022,0.277362022,1,0.808062742,0.410812078,0.387998627,-0.078581624,-0.133283284,-0.305568473,0.152518265,0.151421607,0.399544849,0.046213438,0.133207294,0.424723359,0.515868375,0.011618274
ALT,0.103767145,0.247126036,-0.238861646,-0.00780449,0.395339245,0.171976294,0.808062742,1,0.366824887,0.379754266,-0.125927046,-0.163901622,-0.170024018,-0.131643066,0.071511841,0.26641144,-0.091762902,0.181927193,0.118397289,0.28815358,-0.094448048
ALP,0.129569116,0.169455508,-0.156161337,-0.107232654,0.114160814,0.047338303,0.410812078,0.366824887,1,-0.043391907,-0.008142198,0.075917364,0.052996356,0.04609612,0.100764221,0.319268582,-0.158741921,0.194830076,0.03852009,0.2412895,-0.300088044
Tbil,-0.120338873,-0.090326029,-0.024661247,-0.102123316,0.2200884,0.201557161,0.387998627,0.379754266,-0.043391907,1,-0.305028863,-0.101942718,-0.090995739,0.188449238,0.144331767,-0.011700345,-0.198418602,-0.051248932,0.014442531,0.055590041,0.299114507
Bun,-0.186118545,0.192987298,-0.076266852,-0.135370511,-0.318465368,-0.238834987,-0.078581624,-0.125927046,-0.008142198,-0.305028863,1,0.097245266,0.300225842,0.086473322,0.246088726,-0.290724853,0.321451004,0.21674768,0.203000917,0.022451348,-0.067144115
Cr,-0.146786312,-0.123146211,0.10934867,-0.194268151,-0.192906037,-0.057416112,-0.133283284,-0.163901622,0.075917364,-0.101942718,0.097245266,1,0.328358365,0.255987086,0.050548028,-0.073968631,0.321387297,0.031827373,0.113636094,-0.012791096,-0.008651205
UA,-0.30478035,-0.104957568,0.066093267,0.059497679,-0.086288912,-0.312412098,-0.305568473,-0.170024018,0.052996356,-0.090995739,0.300225842,0.328358365,1,0.052586085,0.312081175,-0.451178101,0.411792002,0.413536704,0.041713209,-0.013573203,-0.038415347
IgG,-0.164530238,-0.181380874,0.198752886,-0.257449453,-0.395678881,0.049203233,0.152518265,-0.131643066,0.04609612,0.188449238,0.086473322,0.255987086,0.052586085,1,0.658526473,0.021529692,0.264338557,0.053035094,0.663570779,0.263196005,0.065945071
IgA,-0.406113544,-0.112836162,0.142522096,0.09317772,-0.146542936,-0.082623431,0.151421607,0.071511841,0.100764221,0.144331767,0.246088726,0.050548028,0.312081175,0.658526473,1,-0.026939117,0.264827576,0.214458078,0.613827442,0.16033244,0.164469456
IgM,0.108242027,0.020482214,0.002801484,0.214079047,-0.011899557,0.560844892,0.399544849,0.26641144,0.319268582,-0.011700345,-0.290724853,-0.073968631,-0.451178101,0.021529692,-0.026939117,1,-0.091846865,-0.359429993,0.00264954,0.417795003,-0.175137018
C3,-0.150988498,0.10110341,-0.055278678,-0.260439488,-0.519056222,-0.022658902,0.046213438,-0.091762902,-0.158741921,-0.198418602,0.321451004,0.321387297,0.411792002,0.264338557,0.264827576,-0.091846865,1,0.157559063,0.415495077,0.499009305,0.090838193
C4,-0.102010643,0.168330483,-0.190438112,-0.060479042,0.085477064,0.079590398,0.133207294,0.181927193,0.194830076,-0.051248932,0.21674768,0.031827373,0.413536704,0.053035094,0.214458078,-0.359429993,0.157559063,1,0.096699478,0.405562654,-0.028950816
ESR,-0.249009868,0.098421441,-0.064802294,-0.374179704,-0.490814108,0.049191762,0.424723359,0.118397289,0.03852009,0.014442531,0.203000917,0.113636094,0.041713209,0.663570779,0.613827442,0.00264954,0.415495077,0.096699478,1,0.566176902,-0.057624735
CRP,0.082863069,0.326923162,-0.308910893,-0.236921307,-0.283710546,0.483493845,0.515868375,0.28815358,0.2412895,0.055590041,0.022451348,-0.012791096,-0.013573203,0.263196005,0.16033244,0.417795003,0.499009305,0.405562654,0.566176902,1,-0.121175832
MZ,-0.202341834,-0.339308039,0.219286013,-0.357971234,-0.328008233,-0.043070082,0.011618274,-0.094448048,-0.300088044,0.299114507,-0.067144115,-0.008651205,-0.038415347,0.065945071,0.164469456,-0.175137018,0.090838193,-0.028950816,-0.057624735,-0.121175832,1
